Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
7.0%,206.0,255.0,125.7,255.4,493.3,2.4,1%,95%,5%,31%,21%,14%,16%,18%
1.9%,110.6,121.4,82.9,158.7,312.4,2.8,2%,95%,3%,30%,23%,15%,16%,16%
2.0%,136.5,160.7,99.6,185.8,368.8,2.7,1%,96%,2%,31%,22%,15%,14%,17%
2.2%,109.7,126.5,91.6,157.5,319.7,2.9,5%,91%,4%,29%,22%,15%,16%,18%
5.0%,195.1,222.4,110.7,232.3,461.3,2.4,3%,95%,2%,28%,22%,15%,18%,17%
2.8%,129.8,163.4,99.2,176.3,356.7,2.7,1%,97%,2%,32%,22%,15%,15%,17%
2.4%,109.6,119.9,98.6,183.4,320.2,2.9,7%,90%,3%,31%,21%,15%,16%,18%
2.3%,137.6,162.2,104.0,190.1,371.8,2.7,2%,96%,3%,30%,23%,15%,15%,16%
5.1%,210.8,246.6,127.7,249.8,495.1,2.3,2%,94%,3%,31%,21%,15%,16%,17%
6.8%,217.4,263.1,134.4,264.6,508.5,2.3,2%,93%,4%,30%,20%,15%,16%,18%
2.5%,145.7,162.8,106.4,193.7,386.3,2.7,3%,94%,4%,29%,21%,16%,16%,19%
2.8%,122.6,152.8,98.9,180.3,344.3,2.8,5%,92%,2%,30%,22%,15%,15%,18%
1.8%,105.6,115.3,74.6,140.0,302.7,2.9,7%,90%,3%,29%,21%,15%,17%,19%
1.6%,110.0,122.1,78.7,150.1,313.1,2.8,2%,94%,4%,35%,23%,17%,14%,11%
4.5%,114.6,138.4,99.7,188.6,330.1,2.9,5%,92%,3%,31%,22%,16%,15%,16%
3.6%,144.5,176.9,105.9,196.8,385.5,2.7,1%,96%,3%,32%,21%,15%,15%,18%
1.1%,87.4,101.2,76.5,113.6,272.4,3.1,25%,71%,3%,29%,21%,16%,16%,18%
4.2%,120.0,145.6,99.2,192.5,339.7,2.8,4%,93%,3%,30%,22%,16%,15%,17%
2.7%,126.9,160.3,92.4,169.4,350.1,2.8,2%,96%,2%,32%,21%,15%,15%,16%
7.9%,86.1,138.2,76.6,155.1,273.3,3.2,6%,91%,3%,30%,21%,16%,16%,17%
9.1%,191.6,235.3,108.7,239.2,455.7,2.4,2%,96%,3%,24%,21%,14%,18%,23%
6.0%,182.6,225.1,112.6,227.7,448.2,2.5,6%,93%,1%,26%,21%,15%,18%,20%
1.2%,78.5,100.3,74.4,112.3,254.7,3.2,14%,83%,3%,31%,20%,16%,16%,18%
