Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
6.2%,116.2,156.8,79.9,151.6,248.7,2.1,5%,90%,5%,42%,24%,15%,10%,9%
6.2%,140.2,198.1,98.1,194.4,290.8,2.1,4%,91%,5%,38%,27%,16%,11%,7%
6.2%,166.1,216.2,111.3,225.6,327.2,2.0,5%,91%,4%,32%,23%,16%,14%,15%
6.1%,153.4,199.6,90.8,194.6,300.1,2.0,3%,95%,2%,35%,22%,15%,13%,15%
6.1%,207.9,295.6,131.3,300.6,384.3,1.8,4%,91%,5%,32%,24%,14%,14%,16%
6.0%,177.5,219.2,103.7,238.6,332.7,1.9,7%,89%,5%,31%,24%,18%,14%,13%
6.0%,93.5,117.4,72.9,146.9,214.5,2.3,4%,92%,4%,43%,26%,16%,10%,5%
6.0%,102.3,126.5,77.2,150.4,234.7,2.3,4%,92%,4%,36%,25%,15%,14%,9%
6.0%,74.7,79.3,54.4,96.6,185.4,2.5,1%,96%,3%,29%,24%,14%,15%,17%
6.0%,128.8,149.6,77.7,153.6,266.2,2.1,3%,95%,2%,23%,25%,13%,17%,22%
5.9%,122.2,169.3,91.0,165.3,264.2,2.2,5%,91%,4%,35%,25%,16%,13%,10%
5.9%,151.4,195.8,93.0,181.6,298.0,2.0,2%,92%,5%,36%,22%,15%,13%,14%
5.9%,111.3,135.3,76.7,151.2,241.2,2.2,5%,87%,7%,37%,27%,17%,12%,7%
5.8%,129.7,173.5,93.3,162.0,275.9,2.1,3%,91%,6%,35%,23%,15%,13%,15%
5.8%,108.8,140.1,94.1,164.3,247.7,2.3,7%,89%,5%,36%,25%,16%,12%,10%
5.8%,115.4,143.6,84.7,160.4,256.3,2.2,6%,90%,4%,34%,25%,15%,15%,10%
5.8%,178.5,239.5,116.1,251.5,344.0,1.9,6%,90%,4%,34%,24%,17%,14%,11%
5.8%,124.4,158.5,96.3,173.1,270.5,2.2,4%,91%,4%,31%,24%,17%,15%,13%
5.8%,173.6,218.0,99.7,237.4,328.7,1.9,6%,86%,8%,40%,25%,15%,11%,10%
5.7%,243.1,354.3,122.1,332.1,415.2,1.7,3%,91%,6%,34%,22%,14%,16%,14%
5.7%,200.0,277.7,111.1,275.3,362.1,1.8,5%,92%,3%,32%,24%,15%,15%,13%
5.7%,96.5,111.8,73.5,137.7,218.4,2.3,11%,85%,4%,39%,23%,16%,11%,10%
5.7%,58.3,79.4,55.3,92.5,156.4,2.7,10%,85%,5%,39%,26%,17%,12%,5%
5.7%,180.9,228.9,105.1,262.9,347.6,1.9,8%,88%,4%,31%,28%,18%,13%,11%
5.7%,144.0,170.1,101.8,199.0,296.5,2.1,9%,87%,4%,33%,24%,17%,14%,12%
5.7%,83.5,95.0,68.5,106.8,197.5,2.4,5%,90%,5%,28%,20%,16%,15%,21%
5.6%,162.7,208.7,106.5,198.3,321.0,2.0,7%,86%,7%,34%,24%,16%,13%,14%
5.6%,137.5,189.1,105.7,195.0,288.6,2.1,5%,92%,3%,35%,25%,17%,14%,10%
5.6%,94.8,117.3,76.3,140.2,224.2,2.4,5%,91%,4%,36%,25%,16%,14%,8%
5.6%,107.8,148.1,88.5,138.2,241.9,2.2,4%,91%,5%,29%,22%,16%,16%,16%
5.6%,142.5,194.8,100.9,191.2,294.7,2.1,6%,90%,5%,34%,26%,18%,14%,9%
5.6%,163.9,212.7,110.4,205.4,323.7,2.0,7%,86%,6%,33%,24%,16%,13%,14%
5.6%,49.9,72.4,50.7,81.9,146.2,2.9,12%,84%,4%,35%,28%,18%,12%,7%
5.6%,237.0,339.7,118.0,320.6,408.0,1.7,1%,92%,7%,33%,26%,12%,15%,15%
5.5%,163.8,202.5,96.8,212.1,314.4,1.9,9%,86%,5%,36%,26%,17%,12%,9%
5.5%,184.7,247.4,115.7,241.3,350.2,1.9,5%,90%,5%,36%,22%,15%,13%,14%
5.5%,120.8,169.3,96.8,172.5,265.0,2.2,4%,90%,5%,38%,28%,16%,11%,6%
5.5%,81.6,87.5,65.5,115.3,204.9,2.5,3%,94%,3%,30%,26%,14%,15%,15%
5.5%,166.1,206.5,109.5,212.8,325.8,2.0,4%,91%,5%,33%,21%,15%,14%,17%
5.4%,240.1,351.8,119.6,374.0,411.5,1.7,2%,96%,2%,36%,19%,16%,14%,16%
5.4%,152.9,210.5,104.5,207.6,308.4,2.0,4%,91%,4%,35%,28%,17%,12%,8%
5.4%,109.7,150.5,91.0,147.6,248.3,2.3,7%,88%,5%,35%,25%,16%,13%,11%
5.4%,200.1,282.8,113.7,273.7,367.6,1.8,8%,86%,6%,45%,24%,14%,11%,7%
5.4%,71.3,77.4,65.3,121.4,178.4,2.5,4%,91%,5%,45%,24%,14%,10%,6%
5.3%,107.1,128.3,86.1,159.1,241.3,2.3,7%,89%,4%,35%,25%,17%,14%,10%
5.3%,117.7,139.0,77.8,146.9,250.6,2.1,4%,89%,6%,35%,28%,17%,11%,9%
5.3%,57.4,70.7,55.5,83.1,157.2,2.7,21%,72%,7%,44%,20%,14%,11%,11%
5.3%,92.9,118.8,69.3,122.6,213.2,2.3,5%,90%,5%,42%,24%,14%,11%,9%
5.3%,131.4,180.8,99.8,177.2,282.8,2.2,4%,90%,5%,36%,27%,17%,12%,9%
5.3%,134.2,161.5,95.4,188.2,282.6,2.1,8%,87%,5%,34%,27%,18%,13%,8%
5.3%,182.1,231.7,115.1,255.3,347.8,1.9,1%,95%,4%,30%,24%,17%,15%,14%
5.3%,185.6,250.2,116.2,248.4,351.0,1.9,6%,89%,5%,37%,25%,15%,13%,10%
5.2%,176.7,214.7,103.3,214.2,332.2,1.9,6%,88%,7%,30%,27%,16%,14%,14%
5.2%,111.7,140.4,77.6,139.8,242.2,2.2,8%,86%,6%,40%,25%,15%,11%,9%
5.2%,167.8,218.7,115.5,231.2,330.7,2.0,6%,90%,5%,36%,25%,16%,13%,10%
5.2%,103.8,134.8,85.7,157.8,239.1,2.3,5%,92%,3%,36%,29%,17%,11%,7%
5.1%,186.8,243.9,122.5,258.9,352.1,1.9,6%,89%,4%,37%,23%,16%,11%,13%
5.1%,94.4,118.8,82.0,136.0,223.9,2.4,4%,91%,6%,37%,25%,16%,13%,10%
5.1%,129.2,164.2,96.4,171.2,275.3,2.1,4%,93%,4%,33%,23%,16%,13%,15%
5.1%,129.7,166.9,97.4,178.5,276.2,2.1,4%,90%,5%,36%,26%,16%,13%,8%
5.0%,172.6,223.6,112.7,234.9,334.6,1.9,6%,89%,5%,36%,25%,16%,13%,10%
5.0%,95.6,119.6,75.2,137.8,222.2,2.3,7%,87%,6%,46%,23%,15%,11%,6%
5.0%,106.3,124.2,84.2,145.9,238.8,2.2,8%,88%,4%,30%,23%,17%,16%,14%
5.0%,118.2,142.9,89.4,155.9,257.0,2.2,4%,91%,5%,35%,24%,17%,12%,12%
5.0%,212.3,284.9,117.1,289.9,376.1,1.8,5%,90%,6%,41%,21%,13%,11%,14%
5.0%,93.8,121.9,77.0,120.7,219.8,2.3,5%,91%,4%,29%,23%,16%,16%,16%
5.0%,119.0,147.4,86.9,148.8,259.1,2.2,6%,90%,4%,31%,23%,15%,14%,17%
4.9%,137.9,166.9,101.4,188.7,286.9,2.1,10%,84%,6%,38%,26%,16%,12%,8%
4.9%,113.4,145.8,90.9,157.2,252.9,2.2,7%,88%,5%,39%,25%,15%,12%,8%
4.9%,96.1,110.2,74.2,137.3,220.7,2.3,5%,89%,5%,38%,26%,17%,11%,8%
4.9%,86.5,97.9,75.3,138.7,206.5,2.4,5%,90%,5%,36%,27%,16%,11%,10%
4.9%,203.8,278.1,109.8,284.7,366.6,1.8,4%,92%,4%,42%,23%,13%,11%,11%
4.9%,124.7,167.2,96.6,163.8,269.8,2.2,5%,91%,5%,32%,27%,17%,14%,11%
4.9%,163.9,197.6,96.8,208.6,321.5,2.0,2%,95%,3%,28%,23%,15%,17%,16%
4.9%,91.4,108.4,68.7,114.3,216.9,2.4,3%,92%,5%,30%,24%,14%,15%,17%
4.8%,189.0,257.3,108.3,250.1,348.4,1.8,4%,91%,5%,41%,25%,15%,11%,8%
4.8%,132.7,161.2,84.3,149.5,271.7,2.0,9%,87%,3%,30%,21%,17%,16%,16%
4.8%,159.8,193.1,111.2,226.9,321.6,2.0,5%,91%,4%,36%,25%,16%,12%,11%
4.8%,143.1,171.7,90.0,174.0,290.1,2.0,8%,86%,6%,39%,26%,16%,11%,9%
4.8%,193.5,263.8,120.4,252.3,361.4,1.9,7%,89%,3%,34%,23%,16%,14%,13%
4.8%,184.0,226.4,115.5,250.3,347.7,1.9,4%,90%,6%,38%,25%,14%,12%,11%
4.8%,136.2,157.1,84.7,162.5,277.1,2.0,3%,93%,4%,29%,26%,17%,14%,14%
4.8%,107.5,122.4,76.3,150.2,235.2,2.2,4%,92%,4%,32%,28%,18%,12%,10%
4.7%,91.1,107.3,79.5,128.6,215.6,2.4,6%,90%,4%,27%,22%,17%,17%,17%
4.7%,98.2,121.7,73.1,110.1,222.1,2.3,5%,88%,7%,34%,22%,16%,13%,16%
4.7%,92.0,114.5,85.9,138.5,220.6,2.4,4%,91%,5%,31%,26%,17%,14%,12%
4.7%,99.7,110.1,93.4,157.6,227.8,2.3,6%,89%,5%,34%,22%,16%,13%,16%
4.7%,183.2,226.9,106.6,245.4,340.2,1.9,2%,92%,6%,36%,27%,15%,12%,9%
4.7%,115.0,142.1,85.1,141.1,250.0,2.2,4%,91%,5%,30%,25%,17%,15%,14%
4.7%,143.9,183.7,108.7,184.3,296.4,2.1,2%,93%,5%,34%,24%,15%,14%,13%
